Gender,Marital Status,Age,Education,Income,Occupation,Settlement Size
1,1,39,2,130568,1,2
0,0,29,1,80315,0,0
1,0,35,0,107067,0,0
0,1,56,2,214000,1,0
1,1,45,2,158138,1,2
0,0,40,1,135290,0,0
1,1,49,2,179032,1,0
1,1,53,3,196851,1,2
0,0,40,1,131499,0,0
1,1,54,2,203573,1,0
1,0,31,0,88912,0,0
1,0,41,1,138419,0,0
0,0,32,1,94215,0,0
1,0,26,0,66825,0,0
1,1,44,2,152029,1,2
1,1,50,3,181228,1,2
1,1,49,2,176561,1,0
1,0,28,1,75069,0,0
1,1,48,3,172899,1,2
0,1,45,2,158342,2,2
1,0,32,1,92290,0,0
0,0,35,1,108411,0,0
1,1,54,3,202654,2,2
0,1,39,2,128740,1,2
0,0,31,0,89515,0,0
1,1,35,2,106893,1,2
0,0,33,1,98849,0,0
1,1,48,3,173358,2,0
1,0,45,0,157830,0,0
0,0,29,1,77753,0,0
1,1,41,3,139315,1,2
0,0,28,1,76506,0,0
1,0,36,1,112922,0,0
1,0,26,1,64395,0,0
1,1,37,2,119917,1,0
1,1,43,2,147164,1,2
1,1,45,2,156856,1,0
0,0,32,1,93220,0,0
1,1,54,2,203962,1,2
1,1,34,2,103943,1,2
0,0,28,1,75471,0,1
1,0,34,1,104317,0,0
1,1,40,2,134312,2,0
0,0,32,1,96685,0,0
0,1,45,2,155706,1,0
0,0,32,0,96606,0,0
1,0,36,1,114255,0,0
0,0,36,1,113255,0,0
0,0,32,1,94253,0,0
1,1,40,2,135593,1,2
0,0,28,1,73778,0,0
1,0,36,0,114711,0,0
0,1,42,2,143610,1,2
0,0,24,1,53777,0,0
0,1,52,1,189823,2,2
1,0,26,1,66497,0,0
1,1,49,2,176640,1,2
1,0,40,1,134760,0,0
1,1,59,2,228276,2,2
0,0,36,1,115637,0,0
1,1,41,3,139744,1,2
0,1,49,2,175377,2,2
0,0,37,1,121299,0,0
0,0,36,1,114647,0,0
1,1,49,2,178996,1,2
0,0,38,0,125126,0,0
1,0,33,1,98018,0,0
0,0,32,1,94764,0,0
1,1,55,2,205370,2,0
0,0,31,1,89618,0,0
1,1,54,3,203294,1,0
0,0,35,1,111391,0,0
1,0,45,0,158287,0,0
1,1,44,2,153452,1,2
1,0,37,1,116746,0,1
0,0,31,1,91828,0,0
1,0,37,1,117354,0,0
1,1,49,2,179863,1,2
0,0,32,1,94185,0,1
0,0,38,0,122169,0,0
0,0,29,1,79549,0,0
1,1,42,2,144382,1,2
1,0,42,1,141735,0,0
1,0,31,1,89875,0,0
0,0,29,1,77912,0,0
1,1,48,2,173044,1,2
0,1,52,2,193290,2,2
0,1,41,2,136576,2,0
1,0,42,0,143892,0,0
1,1,51,2,189541,1,0
1,1,47,3,166056,2,2
0,0,22,0,47780,0,0
1,0,29,1,78481,0,0
1,1,56,2,213945,1,0
0,0,36,1,112831,0,0
1,0,49,1,176848,0,0
1,0,34,0,103636,0,0
1,0,31,0,90740,0,0
0,0,29,1,77708,0,0
1,1,44,1,151800,1,0
0,0,34,1,105093,0,1
1,1,58,2,220920,1,2
1,0,39,0,127892,0,0
1,1,48,2,172982,1,2
1,1,37,2,117554,1,2
1,1,49,1,177248,1,2
1,1,50,2,183458,1,2
1,1,44,2,152547,1,2
0,0,32,1,92683,0,0
1,0,40,1,134132,0,0
0,0,45,0,158739,0,0
1,1,46,2,161953,1,2
1,1,46,2,161678,1,2
1,0,43,1,148755,0,0
0,1,52,2,193383,2,2
0,0,33,0,98282,0,1
0,0,26,1,63022,0,0
0,0,28,1,75228,0,0
0,0,26,1,65016,0,0
0,0,51,1,186451,0,0
1,0,39,1,127681,0,0
0,0,35,1,109331,0,1
0,1,47,2,165814,1,2
0,1,38,2,122462,1,2
0,1,51,3,188091,1,2
0,0,24,0,57250,0,0
0,1,37,2,119071,1,2
0,0,36,1,114226,0,0
1,1,38,2,121506,2,2
0,1,41,2,137840,1,2
0,0,38,1,123165,0,0
0,0,42,1,143405,0,0
1,1,51,2,187225,1,2
1,1,38,2,122986,1,2
0,0,30,1,83088,0,0
1,1,56,2,211754,1,2
1,0,30,0,82822,0,0
1,1,50,2,181865,1,2
0,1,46,2,165047,2,2
1,1,49,2,177495,1,2
0,0,37,1,120925,0,0
0,0,29,1,77658,0,0
0,1,54,2,203264,1,2
0,0,38,1,122940,0,0
0,0,36,1,113539,0,0
1,1,48,2,172187,1,2
0,0,34,1,104204,0,0
0,0,28,0,74476,0,0
0,0,42,0,141694,0,0
0,0,37,1,119971,0,0
0,0,36,1,115360,0,0
1,1,54,2,201015,1,0
1,0,32,1,93781,0,0
0,0,35,0,107732,0,0
1,1,55,2,205892,1,0
0,1,42,2,141384,1,2
1,1,44,3,154897,1,2
1,1,55,2,205243,1,2
0,0,42,0,145414,0,0
1,0,38,0,124826,0,0
1,1,61,2,238225,1,2
1,1,43,2,148193,1,0
1,1,56,2,211956,1,2
0,0,33,1,98522,0,0
1,1,43,2,146881,2,2
1,1,34,2,103388,1,2
1,1,40,2,134816,1,2
0,1,40,1,132593,2,2
1,1,50,2,180034,1,2
0,0,26,1,64756,0,0
0,1,44,1,154169,1,2
0,0,39,1,127466,0,0
0,0,27,1,68639,0,1
1,0,39,1,129699,0,0
0,0,35,1,106839,0,0
0,1,38,2,124227,1,2
0,1,52,2,194136,1,0
0,0,33,1,101196,0,1
1,1,44,1,154735,1,2
1,1,56,2,211608,1,2
1,1,56,2,210817,1,2
1,1,62,2,240089,1,2
1,0,32,1,93445,0,0
1,1,48,2,172383,1,2
1,1,41,2,136006,1,2
1,1,50,3,182535,1,2
0,1,37,3,116577,1,2
0,1,47,3,168518,2,2
1,0,31,0,88849,0,0
0,0,32,1,93774,0,0
0,0,34,1,104542,0,0
1,1,40,2,132376,2,2
0,0,22,0,44967,0,0
1,1,50,2,184142,2,2
1,1,54,2,203346,1,2
1,0,31,1,87981,0,0
1,1,58,1,222065,1,2
1,1,46,2,160841,1,2
0,0,29,0,79824,0,0
0,0,38,0,125612,0,0
0,0,29,0,80426,0,0
0,0,33,1,101292,0,0
0,0,23,1,50969,0,0
1,1,36,2,113854,2,2
0,0,34,1,102816,0,0
1,1,40,2,133397,2,2
0,1,60,3,233408,1,2
1,1,36,2,113846,1,2
0,1,59,2,223925,2,0
1,1,54,1,200927,1,2
0,0,31,1,87533,0,0
0,0,37,1,120693,0,0
1,0,29,1,80872,0,0
1,0,27,0,68554,0,1
1,1,54,2,203811,1,0
1,1,50,2,184596,2,2
0,1,55,2,208035,2,2
1,1,57,2,217903,1,2
0,0,28,1,75632,0,0
1,1,47,2,166920,2,2
1,0,33,1,97794,0,0
1,1,45,3,159751,2,2
1,1,48,2,174824,1,2
1,0,36,1,115568,0,0
1,1,47,3,166402,1,0
1,1,48,2,170286,2,2
1,1,54,2,203359,1,2
1,1,51,2,185216,2,2
1,1,48,2,171444,1,2
0,0,26,1,63379,0,0
1,1,74,2,299928,1,2
0,0,44,1,155273,0,0
1,1,41,3,138926,1,2
1,0,33,1,99551,0,0
0,0,32,0,93615,0,0
1,1,52,2,193543,2,0
0,0,24,1,56400,0,0
1,1,54,3,200050,1,2
1,1,50,1,180793,1,0
1,1,35,2,107813,1,0
1,1,43,2,149026,1,2
1,1,40,2,132497,1,2
1,1,55,2,208216,1,0
1,1,48,2,172233,1,2
0,0,38,1,122299,0,0
1,1,46,2,161075,1,2
1,1,46,2,164547,2,2
0,0,36,1,116356,0,0
1,0,41,1,136855,0,0
1,1,61,2,236305,1,2
1,1,32,2,92673,1,1
0,0,42,0,142937,0,0
1,1,58,3,221877,2,2
0,0,35,1,109183,0,0
1,1,55,2,206084,1,2
0,0,33,0,100708,0,0
0,1,47,2,167968,1,2
1,1,49,2,176916,1,2
1,1,47,3,166585,1,0
1,0,32,1,95719,0,0
0,0,42,0,145568,0,0
1,1,46,2,164906,1,2
1,1,50,2,181494,2,0
1,0,26,1,64559,0,0
1,0,34,0,103700,0,0
1,1,45,2,156029,1,2
1,0,34,1,104014,0,0
1,1,45,2,156824,1,2
1,0,51,1,186650,0,0
0,0,40,1,131818,0,0
1,1,48,2,173218,1,2
1,0,31,1,90209,0,0
0,0,29,1,80530,0,1
1,1,46,1,161748,1,2
1,0,32,1,95903,0,0
0,0,44,1,150791,0,0
0,0,31,1,91292,0,0
0,0,36,1,112075,0,0
0,0,34,1,104218,0,0
0,0,27,0,70638,0,0
0,0,38,1,121821,0,0
1,1,46,2,163039,1,2
0,0,47,1,166026,0,0
0,0,28,1,74691,0,0
1,1,54,3,202890,1,2
1,1,41,2,136645,1,2
0,0,36,1,112037,0,0
0,0,37,0,117302,0,0
0,1,50,1,182833,2,2
0,0,30,1,86452,0,1
1,1,48,2,173343,1,0
0,0,35,1,109911,0,0
1,1,52,2,191856,1,2
1,1,40,2,133387,1,2
1,0,37,1,118489,0,0
1,1,53,3,198753,1,2
0,0,30,1,86388,0,0
1,1,40,2,134763,1,2
0,0,32,1,94427,0,0
0,1,44,2,150707,2,2
1,0,36,1,112539,0,0
0,0,28,1,72533,0,0
1,0,31,1,90579,0,1
0,0,35,1,107181,0,0
1,0,42,0,145598,0,0
0,0,27,1,68723,0,0
1,0,32,1,93448,0,0
1,0,33,0,98613,0,0
1,1,47,3,165496,1,2
0,0,38,1,125093,0,0
0,0,31,1,91831,0,0
0,0,34,1,103691,0,0
1,0,39,1,126578,0,0
1,1,43,2,146238,1,2
0,0,36,1,115275,0,0
0,0,30,0,84139,0,0
1,1,41,3,140301,1,0
1,1,39,2,128963,1,0
1,1,44,2,152646,1,2
1,1,55,2,209029,1,2
1,1,41,3,137228,2,0
1,0,36,1,114076,0,0
1,0,36,1,114968,0,0
0,1,47,2,167772,1,2
1,1,44,2,151915,1,0
0,0,39,1,129117,0,0
0,0,35,1,108684,0,0
1,0,47,1,166493,0,0
0,0,38,1,122656,0,0
1,1,45,3,156805,1,2
1,1,52,2,193385,2,2
1,1,53,2,195846,1,2
1,1,54,2,202146,1,2
0,0,22,1,43711,0,0
1,1,47,3,168836,1,2
0,0,46,1,162074,0,0
0,0,27,1,72429,0,1
1,0,39,0,126342,0,0
0,1,58,2,221535,1,2
1,1,47,2,168139,1,2
0,0,38,1,121348,0,0
0,0,36,1,114952,0,0
1,1,51,2,185399,1,0
0,0,43,1,149313,0,0
1,1,40,2,134198,1,0
1,1,51,2,186550,1,2
1,1,57,2,217619,1,2
0,0,33,1,100219,0,0
1,0,38,0,121725,0,0
1,1,48,2,173293,1,2
1,1,47,2,168729,1,2
1,1,45,3,160294,1,2
1,1,45,2,160084,2,0
1,0,30,1,86829,0,0
1,1,59,1,226671,1,2
1,1,42,2,140899,2,2
1,0,30,0,86931,0,0
1,1,38,2,122128,1,0
0,0,37,1,117210,0,0
0,0,46,1,161651,0,0
1,1,49,2,177316,1,2
0,1,55,3,208935,1,0
0,1,40,2,134377,1,2
0,0,32,1,95346,0,0
1,1,56,3,213870,1,2
1,0,39,1,128796,0,0
1,1,58,2,221803,1,2
1,1,35,2,108562,2,2
1,1,53,2,198953,1,2
0,0,28,1,73149,0,1
0,0,38,1,125295,0,0
0,0,30,1,82332,0,0
1,0,34,1,103424,0,0
1,0,40,0,131212,0,0
1,0,27,1,72319,0,0
1,1,53,2,197763,1,2
1,0,45,1,155893,0,0
1,0,34,1,103265,0,0
1,1,37,3,117555,1,0
1,0,33,1,98443,0,0
0,0,33,1,98182,0,0
1,1,45,2,156663,1,0
1,0,26,0,65950,0,0
1,1,45,2,156135,1,2
1,1,45,2,158629,1,2
0,0,33,0,100448,0,0
1,1,63,2,245588,2,2
1,0,35,1,109384,0,0
0,0,42,1,144737,0,0
1,1,52,2,190912,1,0
1,1,41,2,137467,1,2
0,0,30,1,82924,0,0
1,1,63,3,244997,1,2
0,0,29,0,79480,0,0
1,1,37,2,119155,1,2
1,1,63,2,247878,1,0
0,0,24,1,56297,0,0
0,0,38,0,121364,0,1
0,0,31,0,88127,0,0
0,0,34,0,103575,0,0
0,0,28,0,75388,0,0
0,0,37,1,117856,0,1
1,1,45,2,157174,1,2
0,0,40,1,133113,0,0
1,1,42,3,143640,2,2
0,1,38,2,125984,1,2
0,1,52,2,192048,1,2
1,1,51,2,187450,1,2
0,0,42,1,142444,0,0
0,0,34,1,103524,0,0
1,1,51,2,185312,1,2
1,1,66,2,260137,1,2
1,1,52,3,193206,1,2
1,1,46,2,165156,1,0
0,1,45,3,158851,1,2
1,1,42,1,142574,1,2
1,1,48,2,170718,2,2
1,1,30,2,82679,1,1
0,0,30,1,87061,0,0
1,1,38,2,124752,1,0
1,1,51,1,186396,1,2
0,0,38,1,121331,0,0
0,0,46,1,163302,0,0
1,0,42,1,145242,0,0
1,1,44,2,152411,1,2
1,1,52,2,192885,1,2
1,1,54,2,201524,1,2
1,0,33,1,98630,0,0
1,1,59,2,228170,1,2
1,1,48,2,173674,1,2
1,1,51,1,189213,1,2
1,1,46,2,163830,2,2
1,1,52,2,191411,1,2
1,1,44,2,151713,1,2
0,0,44,1,151303,0,0
0,0,35,0,109104,0,0
1,1,45,2,156859,2,2
0,1,48,2,174260,1,2
0,1,43,2,149354,2,0
1,1,38,2,122586,1,2
1,1,38,3,121882,1,2
0,1,41,3,138251,2,2
1,1,58,2,219080,1,2
1,1,45,2,155975,2,2
0,1,49,2,176061,2,2
1,1,32,2,94737,1,1
0,0,20,1,35832,0,0
1,0,27,1,68887,0,0
0,0,29,1,79772,0,0
1,1,58,3,219159,1,2
0,0,49,1,176990,0,0
1,1,51,3,188868,1,2
1,0,36,1,114958,0,0
1,0,29,1,81194,0,0
1,1,50,2,180615,1,2
0,0,35,1,109082,0,0
0,1,44,2,151480,1,2
0,0,34,1,105547,0,0
1,1,44,2,153719,1,2
1,0,33,1,100678,0,0
1,0,29,1,81541,0,0
1,1,40,2,132013,1,2
1,0,43,0,146997,0,0
1,1,53,3,196476,1,2
1,1,64,3,249159,1,0
0,0,35,0,109019,0,0
1,0,32,1,96291,0,0
1,0,29,1,80317,0,0
0,0,30,1,83583,0,0
0,0,40,1,133261,0,0
0,0,34,1,105477,0,0
0,1,41,2,137606,1,0
1,1,48,2,173473,1,2
0,0,38,1,123005,0,0
0,0,34,1,102866,0,0
1,1,50,2,183496,1,2
0,1,51,2,188742,2,2
1,1,40,2,131179,2,2
1,1,55,2,206321,1,2
1,1,66,2,259360,2,2
0,0,27,1,68797,0,0
0,0,35,1,107578,0,0
0,0,26,1,64089,0,0
1,1,51,3,185461,2,2
1,0,31,1,91972,0,0
1,0,33,0,97555,0,0
1,0,35,1,110144,0,1
1,0,26,1,65091,0,0
1,1,46,1,161164,1,2
1,1,43,2,148617,2,2
1,1,40,3,131891,2,0
0,0,31,1,91757,0,0
1,1,33,2,98946,1,1
1,0,38,1,125879,0,0
1,1,36,2,116012,2,2
0,0,31,1,90321,0,0
1,1,53,3,196903,1,2
1,1,53,1,198811,1,0
0,0,37,1,118139,0,0
0,0,35,1,107859,0,0
1,1,45,2,158513,1,2
0,0,33,1,99105,0,0
0,0,40,1,135318,0,0
1,1,40,1,134345,1,2
0,0,36,1,111641,0,0
1,0,31,1,89563,0,0
0,0,31,1,89539,1,0
1,1,46,2,163682,2,2
0,0,39,1,130818,0,0
0,0,36,1,113878,0,0
1,0,42,1,145069,0,0
1,1,61,2,237733,1,2
1,1,50,2,182856,1,0
1,1,61,1,236686,1,2
1,1,56,2,211693,2,2
1,1,42,2,142608,1,2
1,1,65,2,256774,2,2
0,0,41,0,140525,0,0
1,1,51,2,188232,1,2
1,1,40,2,133886,1,2
0,0,32,1,96859,0,0
1,1,46,3,161068,2,2
0,0,32,1,93645,0,1
1,0,36,1,113044,0,0
0,0,26,1,65535,0,1
1,0,38,1,123225,0,0
1,0,41,1,136487,0,0
0,0,33,1,98940,0,0
1,1,48,2,170512,2,2
0,0,37,0,118707,0,1
1,0,34,1,105248,0,0
0,1,54,2,203475,1,0
0,0,43,1,146678,0,0
0,0,48,1,170619,0,2
0,0,40,0,135066,0,0
1,1,48,2,171337,1,2
0,0,28,1,75043,0,0
0,1,46,2,161845,1,2
1,1,39,3,128688,1,0
1,1,38,2,124684,1,2
1,1,48,2,170905,2,2
0,0,26,1,67004,0,0
1,1,41,1,137875,1,2
0,0,28,1,75497,0,0
1,1,45,2,156671,1,0
0,0,33,1,98891,0,1
1,0,27,0,69546,0,0
0,0,45,1,159356,0,0
1,1,53,3,195508,1,2
0,0,32,1,93086,0,0
1,0,33,1,98234,0,0
0,0,31,0,87873,0,0
0,0,28,1,73821,0,0
1,1,54,2,204249,1,0
0,0,36,1,111820,0,0
1,1,47,2,166317,1,2
1,1,54,2,202801,1,2
0,0,43,1,148017,0,0
1,1,38,2,122775,1,2
0,1,61,2,238528,1,2
1,1,41,2,136242,1,2
0,0,28,1,75326,0,0
0,0,28,1,74532,0,0
0,0,35,1,110830,0,0
1,1,40,3,131600,1,0
1,1,43,2,148944,1,2
1,1,38,2,124893,1,0
0,0,42,0,143804,0,0
1,1,49,2,177867,1,2
1,0,33,1,98618,1,0
0,0,31,0,87724,0,0
1,1,53,2,196951,1,2
1,1,53,2,195455,1,0
1,1,43,3,148037,1,2
0,0,46,1,164456,0,0
1,1,52,2,190855,1,2
0,0,33,0,100516,0,0
0,1,51,3,184910,1,2
1,1,55,3,204947,1,2
0,0,38,1,125619,0,0
0,0,29,1,79235,0,0
0,0,37,1,119818,0,0
1,1,36,2,112093,1,2
0,0,41,0,136909,0,0
1,0,51,1,189223,0,2
1,0,28,1,74086,0,0
1,1,43,2,148292,1,2
1,1,40,2,135716,1,0
1,1,47,2,166432,1,2
1,1,54,3,201079,1,0
1,1,46,2,161870,1,2
1,1,50,2,184702,2,0
1,1,45,2,156287,2,2
1,1,39,2,130263,1,2
0,0,36,0,114036,0,0
1,1,50,2,181617,1,2
1,1,46,2,161007,2,2
1,1,48,2,170667,2,2
0,0,39,1,127068,0,0
0,0,26,1,66164,0,0
0,1,61,2,236843,1,2
1,1,53,2,195468,2,2
1,1,49,3,176921,2,2
0,1,44,2,154478,2,2
0,0,37,1,119799,0,0
1,0,38,1,125384,0,0
1,1,52,2,192370,2,2
0,0,29,1,80715,0,0
1,1,37,2,119312,1,0
1,0,31,1,90195,0,0
1,1,46,2,164958,1,2
1,1,43,1,146455,1,2
1,0,29,1,79398,0,0
1,1,35,2,111407,1,2
1,1,65,3,254347,1,2
0,0,29,1,80977,0,0
0,0,33,1,101754,0,0
1,1,49,1,179781,1,2
1,1,55,2,208159,2,2
0,0,43,1,149570,0,0
1,0,30,1,85711,0,0
0,0,29,1,78478,0,0
1,1,49,2,175920,1,0
0,0,40,1,135546,0,0
0,0,36,1,114786,0,0
0,0,35,1,107797,0,0
0,1,40,2,134500,1,0
1,1,45,2,159819,1,2
1,1,51,2,185518,1,2
1,1,53,2,194729,1,2
1,1,54,3,199982,1,2
0,0,25,1,62073,0,0
1,0,27,1,70703,0,0
1,1,54,1,202731,1,2
0,0,38,1,124828,0,0
1,1,54,2,203174,1,2
1,1,56,2,213738,1,0
1,0,44,1,151577,0,0
1,1,52,3,191903,2,0
0,0,23,1,52275,0,0
1,1,49,2,176171,1,2
1,1,44,2,153740,1,2
1,1,55,2,209115,1,2
0,0,36,1,112357,0,0
1,1,36,2,114430,1,2
0,0,33,1,101498,0,0
1,1,39,3,130579,1,0
0,0,33,0,98962,0,0
0,0,33,1,101085,0,0
1,1,48,2,172119,1,2
0,0,28,0,74316,0,0
0,0,32,0,94333,0,0
1,1,40,2,135376,1,0
1,1,51,2,188983,1,0
0,1,41,3,136228,1,2
1,1,37,2,121066,1,2
1,0,33,1,97359,0,1
1,0,40,1,134571,0,0
1,0,34,1,105486,0,0
0,0,33,1,100415,0,1
1,1,39,2,128688,1,0
1,1,51,2,188114,1,2
0,0,28,0,73184,0,0
1,1,38,2,122467,1,2
